,LoanID,MonthRep,Servicer,CurrInterestRate,CAUPB,LoanAge,MonthsToMaturity,AdMonthsToMaturity,MaturityDate,MSA,CLDS,ModFlag,ZeroBalCode,ZeroBalDate,LastInstallDate,ForeclosureDate,DispositionDate,ForeclosureCosts,PPRC,AssetRecCost,MHEC,ATFHP,NetSaleProceeds,CreditEnhProceeds,RPMWP,OFP,NIBUPB,PFUPB,RMWPF,FPWA,ServicingIndicator,Arrears,Arrears_3m,Arrears_6m,Arrears_9m,Arrears_12m,0
889107,112510008916.0,12/01/2017,,4.125,93663.66,57.0,303.0,278.0,03/2043,22420,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
238068,103395712510.0,12/01/2017,,5.375,290263.25,97.0,446.0,,02/2055,47900,0.0,Y,,,,,,,,,,,,,,,0.0,,,,N,0.0,0.0,0.0,0.0,0.0,
148978,102137139846.0,06/01/2017,,4.5,225746.88,59.0,301.0,300.0,07/2042,33460,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
259564,103749631510.0,06/01/2016,,3.875,105144.37,32.0,148.0,148.0,10/2028,41060,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
668874,109493694495.0,09/01/2017,,3.25,423484.53,55.0,125.0,125.0,02/2028,41940,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
315985,104529153277.0,03/01/2017,,4.25,151647.9,48.0,192.0,0.0,03/2033,16980,1.0,N,1.0,03/2017,,,,,,,,,,,,,,,N,,,1.0,1.0,1.0,1.0,1.0,
218932,103128222721.0,09/01/2016,,4.0,184793.2,41.0,319.0,316.0,04/2043,38900,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
57456,100849294295.0,03/01/2016,,3.5,325633.8,41.0,319.0,310.0,10/2042,42220,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,3.0,6.0,9.0,
58720,100869037808.0,06/01/2016,,3.75,127857.79,35.0,325.0,323.0,07/2043,12580,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,3.0,6.0,
888862,112508247744.0,06/01/2016,,3.99,118868.63,42.0,318.0,318.0,12/2042,18140,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
619170,108809192232.0,09/01/2017,,3.99,190105.94,60.0,300.0,292.0,09/2042,40900,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
111694,101622364291.0,06/01/2016,,4.125,60309.08,54.0,306.0,306.0,12/2041,00000,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
830901,111711387269.0,12/01/2017,,3.875,63053.45,62.0,178.0,164.0,10/2032,16980,0.0,N,,,,,,,,,,,,,,,,,,,N,0.0,0.0,0.0,0.0,0.0,
